entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
client_03302,client_03573,W. L. GORE & ASSOCIATES,"W. L. GORE & ASSOCIATES, INC.",88.46,False
client_01808,client_03604,ELI LILLY & COMPANY,ELI LILLY AND COMPANY,90.0,False
client_00086,client_03642,UNITED LAUNCH ALLIANCE LLC,UNITED LAUNCH ALLIANCE,91.67,False
client_00473,client_03678,GLENMARK PHARMACEUTICALS USA,"GLENMARK PHARMACEUTICALS, INC., USA",88.89,False
client_02720,client_03688,SAN JOAQUIN COUNTY FLOOD CONTROL AND WATER CONSERVATION DISTRICT,NAPA COUNTY FLOOD CONTROL AND WATER CONSERVATION DISTRICT,90.91,False
client_00175,client_03719,CBS CORPORATION,ARCBEST CORPORATION,88.24,False
client_03496,client_03745,RECKITT BENCKISER LLC,RECKITT BENCKISER,89.47,False
client_02760,client_03750,STRYKER CORPORATION,STERIS CORPORATION,86.49,False
firm_288293,client_03752,"THE CJR GROUP, INC.",THE CSL GROUP INC.,86.49,False
client_00438,client_03752,THE COOK GROUP INC.,THE CSL GROUP INC.,86.49,False
firm_401105223,client_03786,"FDJ SOLUTIONS, LLC","BDV SOLUTIONS, LLC",88.89,False
client_00781,client_03789,BIOTECHNOLOGY INDUSTRY ORGANIZATION,"(""BIO"") BIOTECHNOLOGY INDUSTRY ORGANIZATION",89.74,False
client_02014,client_03820,DISH NETWORK,DISH NETWORK LLC,85.71,False
client_01863,client_03840,"LUMEN TECHNOLOGIES, INC. (FORMERLY CENTURYLINK, INC.)","LUMEN TECHNOLOGIES (FORMERLY KNOWN AS CENTURYLINK, INC.)",88.07,False
client_03481,client_03862,"POINTCLICKCARE TECHNOLOGIES, INC.",POINTCLICKCARE TECHNOLOGIES USA CORP.,85.71,False
client_01423,client_03877,TC ENERGY,TECO ENERGY,90.0,False
client_00272,client_03882,"TRACFONE WIRELESS, INC.",TRACFONE WIRELESS,85.0,False
client_02266,client_03884,TRINITY INDUSTRIES INC,TRINITY INDUSTRIES,90.0,False
client_01292,client_03888,UNIVERSITY OF IOWA,UNIVERSITY OF MIAMI,86.49,False
client_02651,client_03890,WEST BASIN MUNICIPAL WATER DISTRICT,WESTERN MUNICIPAL WATER DISTRICT,86.57,False
client_03821,client_03897,DSG TECHNOLOGY,DJI TECHNOLOGY,85.71,False
client_03787,client_03910,BEACON CAPITAL PARTNERS LLC,BDT CAPITAL PARTNERS LLC,86.27,False
client_01520,client_03915,DUKE ENERGY CORPORATION,DEVON ENERGY CORPORATION,89.36,False
client_01328,client_03919,GRANITE TELECOMMUNICATIONS,"GRANITE TELECOMMUNICATIONS, LLC",91.23,False
client_01429,client_03927,NIDEC AMERICAS HOLDING CORPORATION,MUFG AMERICAS HOLDINGS CORPORATION,85.29,False
client_00523,client_03929,NATIONAL RURAL LETTER CARRIERS' ASSOCIATION,NATIONAL ASSOCIATION OF LETTER CARRIERS,90.24,False
client_00308,client_03937,"SPARK THERAPEUTICS, INC.",SPARK THERAPEUTICS,85.71,False
client_00393,client_03937,SAGE THERAPEUTICS,SPARK THERAPEUTICS,85.71,False
firm_294690,client_03949,"COMMUNITIES IN SCHOOLS, INC.",COMMUNITIES IN SCHOOLS,88.0,False
client_00910,client_03954,AMAC ACTION,ATA ACTION,85.71,False
client_00001,client_03990,BUSINESS ROUNDTABLE INC,"THE BUSINESS ROUNDTABLE, INC.",88.46,False
client_02098,client_03990,THE BUSINESS ROUNDTABLE,"THE BUSINESS ROUNDTABLE, INC.",88.46,False
client_01653,client_04042,"ACADIA PHARMACEUTICALS, INC.","ACELRX PHARMACEUTICALS, INC.",85.71,False
client_02219,client_04042,"BRAEBURN PHARMACEUTICALS, INC.","ACELRX PHARMACEUTICALS, INC.",86.21,False
client_03532,client_04042,"ALEXION PHARMACEUTICALS, INC.","ACELRX PHARMACEUTICALS, INC.",87.72,False
client_00534,client_04044,AMERICAN MEDICAL GROUP ASSOCIATION,AMERICAN MEDICAL ASSOCIATION,90.32,False
client_01517,client_04044,AMERICAN RENTAL ASSOCIATION,AMERICAN MEDICAL ASSOCIATION,87.27,False
client_01650,client_04074,MONSTER WORLDWIDE,"MONSTER WORLDWIDE, INC.",85.0,False
client_01941,client_04092,SPACE EXPLORATION TECHNOLOGIES CORPORATION,SPACE EXPLORATION TECHNOLOGIES CORP,90.91,False
client_00080,client_04113,GROWTH ENERGY INC,GROWTH ENERGY,86.67,False
client_03270,client_04136,SACRAMENTO COUNTY,"SACRAMENTO COUNTY, CA",89.47,False
client_03323,client_04146,CALIFORNIA HOSPITAL ASSOCIATION,CALIFORNIA DENTAL ASSOCIATION,86.67,False
client_04081,client_04176,SOUTHWEST AIRLINES CO.,SOUTHWEST AIRLINES,90.0,False
client_00175,client_04187,CBS CORPORATION,COLSA CORPORATION,87.5,False
client_03821,client_04200,DSG TECHNOLOGY,DXC TECHNOLOGY,85.71,False
client_03897,client_04200,DJI TECHNOLOGY,DXC TECHNOLOGY,85.71,False
client_03383,client_04220,RAI SERVICES COMPANY (FORMERLY KNOWN AS REYNOLDS AMERICAN),"RAI SERVICES COMPANY (FORMERLY REYNOLDS AMERICAN, INC.)",88.5,False
client_01342,client_04221,RTX CORPORATION (FKA RAYTHEON TECHNOLOGIES CORPORATION AND AFFILIATES),RTX CORPORATION (FKA RAYTHEON TECHNOLOGIES CORPORATION),86.4,False
client_02511,client_04222,"SAMSUNG ELECTRONICS AMERICA, INC.",SAMSUNG ELECTRONICS AMERICA,90.0,False
client_03553,client_04264,"LYTX, INC.","LYFT, INC.",90.0,False
client_03945,client_04304,GLASS PACKAGING INSTITUTE (GPI),GLASS PACKAGING INSTITUTE,89.29,False
client_02568,client_04309,"INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)","INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",88.0,False
firm_33512,client_04316,"ROBISON INTERNATIONAL, INC.","MERLIN INTERNATIONAL, INC.",86.79,False
client_03888,client_04330,UNIVERSITY OF MIAMI,THE UNIVERSITY OF MIAMI,90.48,False
client_02446,client_04335,GEORGIA INSTITUTE OF TECHNOLOGY,CALIFORNIA INSTITUTE OF TECHNOLOGY,86.15,False
client_04312,client_04336,MARINER FINANCE LLC,MARINER FINANCE,88.24,False
client_00993,client_04341,RTX CORPORATION,GATX CORPORATION,90.32,False
client_04205,client_04341,GMTO CORPORATION,GATX CORPORATION,87.5,False
client_03469,client_04355,JP MORGAN CHASE HOLDINGS,JPMORGAN CHASE HOLDINGS LLC,90.2,False
client_00207,client_04387,AON CORPORATION,ALCOA CORPORATION,87.5,False
client_01154,client_04387,CAMECO CORPORATION,ALCOA CORPORATION,85.71,False
client_04187,client_04387,COLSA CORPORATION,ALCOA CORPORATION,88.24,False
client_03704,client_04441,THOMAS JEFFERSON UNIVERSITY,THOMAS JEFFERSON UNIVERSITY HOSPITAL,85.71,False
client_00393,client_04442,SAGE THERAPEUTICS,AGILE THERAPEUTICS,91.43,False
client_01600,client_04444,AMERICAN PUBLIC POWER ASSOCIATION,AMERICAN PUBLIC HEALTH ASSOCIATION,86.57,False
client_00602,client_04457,ASSOCIATION OF CALIFORNIA WATER AGENCIES,CALIFORNIA ASSOCIATION OF SANITATION AGENCIES,87.06,False
