entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
client_00274,client_02008,AMERICAN MEDICAL REHABILITATION PROVIDERS ASSOCIATION,AMERICAN MEDICAL REHABILITATION PROVIDER ASSOCIATION,99.05,True
client_00922,client_02013,"CLEARPATH ACTION FUND FOR CONSERVATIVE CLEAN ENERGY, INC.","CLEARPATH ACTION FOR CONSERVATIVE CLEAN ENERGY, INC.",95.41,True
client_02036,client_02037,PRVO PLINARSKO DRUTVO D.O.O.,PRVO PLINARSKO DRUTVO D.O.O.,100.0,True
client_00763,client_02056,LONDON STOCK EXCHANGE GROUP,LONDON STOCK EXCHANGE GROUP PLC,93.1,True
client_01445,client_02084,NATIONAL CHILDREN'S ALLIANCE,NATIONAL CHILDREN'S ALLIANCE,100.0,True
client_00120,client_02085,ASCENSION HEALTH ALLIANCE D/B/A ASCENSION,ASCENSION HEALTH ALLIANCE D/B/A ASCENSION,100.0,True
client_01540,client_02092,NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS,NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS,100.0,True
client_02100,client_02101,"PORTER AND KORVICK, P.A.","PORTER AND KORVICK, P.A.",100.0,True
client_01712,client_02104,AMERICAN BANKERS ASSOCIATION'S CARD POLICY COUNCIL,AMERICAN BANKERS ASSOCIATION'S CARD POLICY COUNCIL,100.0,True
client_01853,client_02120,VISTRA CORPORATE SERVICES COMPANY F/K/A VISTRA ENERGY,VISTRA CORPORATE SERVICES COMPANY F/K/A VISTRA ENERGY,100.0,True
client_01836,client_02176,OPTIMUM COMMUNICATIONS F/K/A ALTICE USA,OPTIMUM COMMUNICATIONS F/K/A ALTICE USA,100.0,True
client_01909,client_02190,SOO LINE CORPORATION DBA CPKC (F/K/A CANADIAN PACIFIC KANSAS CITY),SOO LINE CORPORATION DBA CPKC (F/K/A CANADIAN PACIFIC KANSAS CITY),100.0,True
client_02192,firm_10970,COUNCIL FOR A LIVABLE WORLD,COUNCIL FOR A LIVABLE WORLD,100.0,True
client_01794,client_02217,AT&T SERVICES INC AND ITS AFFILIATES,AT&T SERVICES INC AND ITS AFFILIATES,100.0,True
client_01648,client_02236,"SANOFI, U.S.",SANOFI U.S.,95.65,True
client_01706,client_02263,"SOUTHERN GLAZER'S WINE AND SPIRITS, LLC","SOUTHERN GLAZER'S WINE AND SPIRITS, LLC",100.0,True
client_01040,client_02264,SOUTHWEST AIRLINES PILOTS' ASSOCIATION,SOUTHWEST AIRLINES PILOT ASSOCIATION,97.3,True
client_01236,client_02271,OHIO FARM BUREAU FEDERATION,IOWA FARM BUREAU FEDERATION,92.59,True
client_00387,client_02285,MAPLEBEAR INC. D/B/A INSTACART,MAPLEBEAR INC. D/B/A INSTACART,100.0,True
client_00247,client_02312,"SUMITOMO PHARMA AMERICA, INC. (FORMERLY SUNOVION PHARMACEUTICALS INC.)","SUMITOMO PHARMA AMERICA (FORMERLY SUNOVION PHARMACEUTICALS, INC.)",94.81,True
client_01090,client_02337,INTERNATIONAL LONGSHORE AND WAREHOUSE UNION,INTERNATIONAL LONGSHORE & WAREHOUSE UNION,95.24,True
client_01264,client_02343,NATIONAL CABLE & TELECOMMUNICATIONS ASSOCIATION,NATIONAL CABLE & TELECOMMUNICATIONS ASSOCIATION (NCTA),93.07,True
client_01886,client_02349,"SANOFI U.S. SERVICES, INC.","SANOFI U.S. SERVICES, INC.",100.0,True
client_02007,client_02363,AMAZON.COM (FRA PILLPACK AN AMAZON COMPANY),AMAZON.COM (FRA PILLPACK AN AMAZON COMPANY),100.0,True
client_02068,client_02364,AMAZON.COM SERVICES LLC,AMAZON.COM SERVICES LLC,100.0,True
client_00492,client_02369,CHILDREN'S HEALTHCARE OF ATLANTA,CHILDREN'S HEALTHCARE OF ATLANTA,100.0,True
client_00421,client_02377,DOCTORS HOSPITAL AT RENAISSANCE,THE DOCTORS HOSPITAL AT RENAISSANCE,93.94,True
client_02241,client_02378,U.S. RENAL CARE,U.S. RENAL CARE,100.0,True
client_00016,client_02397,PMI US CORPORATE SERVICES INC. (FKA PMI GLOBAL SERVICES INC.),PMI US CORPORATE SERVICES INC. (FORMERLY PMI GLOBAL SERVICES INC.),92.91,True
firm_14963,client_02444,FLORIDA SUGAR CANE LEAGUE,FLORIDA SUGAR CANE LEAGUE,100.0,True
client_01860,client_02545,ASSOCIATION FOR ACCESSIBLE MEDICINES (FORMERLY GENERIC PHARMACEUTICAL ASSOC.),ASSOCIATION FOR ACCESSIBLE MEDICINES (FORMERLY - GENERIC PHARMACEUTICAL ASSN),96.1,True
client_01977,client_02596,"HOGAN SRK, INC.; R&C MOTOR CORPORATION; HFP, LTD.","HOGAN SRK, INC.; R&C MOTOR CORPORATION; HFP, LTD.",100.0,True
client_00794,client_02630,S&P GLOBAL INC (FORMERLY MCGRAW HILL FINANCIAL),S&P GLOBAL (FORMERLY MCGRAW HILL FINANCIAL),95.56,True
client_02071,client_02669,"FORIS DAX, INC. D/B/A CRYPTO.COM","FORIS DAX, INC. D/B/A CRYPTO.COM",100.0,True
client_02204,client_02824,KIRIL DOMUSCHIEV AND GEORGI DOMUSCHIEV,KIRIL DOMUSCHIEV AND GEORGI DOMUSCHIEF,97.37,True
client_01627,client_02832,NATIONAL ASSOCIATION OF COMMUNITY HEALTH CENTERS,"NATIONAL ASSOCIATION OF COMMUNITY HEALTH CENTERS, INC.",94.12,True
client_02357,client_02847,"YCI METHANOL ONE, LLC (F/K/A YUHUANG CHEMICAL INC.)","YCI METHANOL ONE, LLC (F/K/A YUHUANG CHEMICAL INC.)",100.0,True
client_02082,client_02871,T-MOBILE US INC.,"T-MOBILE USA, INC.",94.12,True
client_00070,client_02898,"SB GROUP US, INC. DBA SOFTBANK GROUP US, INC.","SB GROUP US DBA SOFTBANK GROUP US, INC.",92.86,True
client_00998,client_02899,S&P GLOBAL,S&P GLOBAL,100.0,True
client_02015,client_02920,"FENNEMORE CRAIG, P.C.","FENNEMORE CRAIG, P.C.",100.0,True
client_01609,client_02926,META PLATFORMS INC (FORMERLY FACEBOOK INC & VARIOUS SUBSIDIARIES),"META PLATFORMS, INC. (FORMERLY FACEBOOK, INC. AND VARIOUS SUBSIDIARIES)",92.65,True
client_01246,client_02961,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (MITA),NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (NEMA),96.15,True
client_01246,client_03091,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (MITA),NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,92.78,True
client_00013,client_03122,NATIONAL SHOOTING SPORTS FOUNDATION,"NATIONAL SHOOTING SPORTS FOUNDATION, INC.",92.11,True
client_03018,client_03144,INSTITUTE OF INTERNATIONAL EDUCATION,INSTITUTE OF INTERNATIONAL EDUCATION (IIE),92.31,True
client_02756,client_03146,LABORATORY CORPORATION OF AMERICA HOLDINGS,LABORATORY CORPORATIONS OF AMERICA HOLDINGS,98.82,True
client_02512,client_03157,SEMICONDUCTORS INDUSTRY ASSOCIATION,SEMICONDUCTOR INDUSTRY ASSOCIATION,98.55,True
client_00020,client_03194,NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS (N.A.C.H.),NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS (N.A.C.H.)-CHA,96.49,True
client_01517,client_03207,AMERICAN RENTAL ASSOCIATION,AMERICAN CAR RENTAL ASSOCIATION,93.1,True
firm_84673,client_03222,HART HEALTH STRATEGIES,HART HEALTH STRATEGIES,100.0,True
client_00310,client_03227,"L3 TECHNOLOGIES, INC.",L-3 TECHNOLOGIES INC,92.68,True
client_02493,client_03284,THE DEPOSITORY TRUST & CLEARING CORPORATION,DEPOSITORY TRUST & CLEARING CORPORATION,95.12,True
client_03365,firm_401105367,FREEDOM FROM RELIGION FOUNDATION,FREEDOM FROM RELIGION FOUNDATION,100.0,True
client_00830,client_03370,INTERNET CORPORATION FOR ASSIGNED NAMES AND NUMBERS,INTERNET CORPORATION FOR ASSIGNED NAMES AND NUMBERS (ICANN),92.73,True
client_00818,client_03425,FEDERATION OF STATE MEDICAL BOARDS,THE FEDERATION OF STATE MEDICAL BOARDS,94.44,True
client_01346,client_03486,SUMITOMO CORPORATION OF AMERICAS,SUMITOMO CORPORATION OF AMERICA,98.41,True
client_01038,client_03509,GLOBALFOUNDRIES U.S. INC.,GLOBALFOUNDRIES U.S. INC.,100.0,True
client_02574,client_03618,NATIONAL BUSINESS AVIATION ASSOCIATION INC,NATIONAL BUSINESS AVIATION ASSOCIATION,95.0,True
client_03380,client_03693,PHARMACEUTICAL INDUSTRY LABOR MANAGEMENT ASSOCIATION (PILMA),PHARMACEUTICAL INDUSTRY LABOR MANAGEMENT ASSOCIATION,92.86,True
client_03571,client_03695,THE PROCTER & GAMBLE COMPANY,PROCTER & GAMBLE COMPANY,92.31,True
client_02579,client_03746,RECORDING INDUSTRY ASSOCIATION OF AMERICA INC,RECORDING INDUSTRY ASSOCIATION OF AMERICA,95.35,True
client_00858,client_03753,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,96.49,True
client_03639,client_03785,THE BARONA BAND OF MISSION INDIANS,BARONA BAND OF MISSION INDIANS,93.75,True
client_00891,client_03907,AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS (AFPM),AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS,92.78,True
client_00891,client_03908,AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS (AFPM),AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS (AFPM),94.12,True
client_00723,client_03911,BLACKSTONE ADMINISTRATIVE SERVICES PARTNERSHIPS L.P.,BLACKSTONE ADMINISTRATIVE SERVICES PARTNERSHIP L.P.,99.03,True
client_01701,client_03924,HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON INGALLS INDUSTRIES INC.,92.06,True
client_03160,client_03937,SPR THERAPEUTICS,SPARK THERAPEUTICS,94.12,True
client_02925,client_03971,INTERNATIONAL FRANCHISE ASSOCIATION (IFA),INTERNATIONAL FRANCHISE ASSOCIATION,92.11,True
client_01862,client_04060,FUTURE OF PHARMACY COALITION LLC,FUTURE OF PHARMACY COALITION,93.33,True
client_01080,client_04100,AMERICAN SMALL MANUFACTURERS COALITION,AMERICAN SMALL MANUFACTURING COALITION,92.11,True
client_03142,client_04117,IDEMIA IDENTITY & SECURITY USA LLC,IDEMIA IDENTITY AND SECURITY USA LLC,94.29,True
client_04216,firm_401104234,MILLENNIUM HEALTH,MILLENNIUM HEALTH,100.0,True
client_00263,client_04273,"NATIONAL COUNCIL OF STATE BOARDS OF NURSING, INC.",NATIONAL COUNCIL OF STATE BOARDS OF NURSING,93.48,True
client_02873,client_04279,THE SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION,94.59,True
client_03090,client_04337,"MODERNA, INC.","MODERNATX, INC.",92.86,True
client_03491,client_04339,WALGREEN CO.,WALGREENS CO.,96.0,True
client_03568,client_04462,THE COALITION FOR 21ST CENTURY MEDICINE,COALITION FOR 21ST CENTURY MEDICINE,94.59,True
client_00604,client_04513,WRITERS GUILD OF AMERICA WEST INC,"WRITERS GUILD OF AMERICA, WEST",92.06,True
client_04519,firm_3344,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY,100.0,True
client_01786,client_04532,ACCENTURE FEDERAL SERVICES,ACCENTURE FEDERAL SERVICES LLC,92.86,True
firm_1650,client_04534,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS,100.0,True
client_04184,client_04581,"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC.",WINE AND SPIRITS WHOLESALERS OF AMERICA,92.86,True
client_02062,client_04586,SANTA CLARA COUNTY,COUNTY OF SANTA CLARA,92.31,True
client_04624,client_04625,"KREINDLER & KREINDLER (FOR CERTAIN PLAINTIFFS IN ""9/11"" LITIGATION)","KREINDLER & KREINDLER LLP (FOR CERTAIN PLAINTIFFS IN ""9/11"" LITIGATION)",97.1,True
client_01022,client_04647,WISPA- WIRELESS INTERNET SERVICE PROVIDERS ASSOCIATION,WIRELESS INTERNET SERVICES PROVIDERS ASSOCIATION,92.16,True
